,Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,PDP % of searches,A2C % of searches,ORDER % of searches
382,i pad,Mobiles & Tablets,458.0,135.0,11.0,0.0,0.0,0.0,0.0,1222049.0,198.0,EL,29.48,2.4,0.0
383,nighty for girls,Fashion,457.0,187.0,23.0,2.0,17.64,5.88,8.82,14192.0,1018.0,Fashion,40.92,5.03,0.44
384,light,Furniture & Decor,457.0,128.0,29.0,8.0,35.23,4.4,4.4,2880926.0,648.0,GM,28.01,6.35,1.75
386,electric geyser,Home Appliances,457.0,235.0,26.0,4.0,294.43,73.61,73.61,374.0,369.0,EL,51.42,5.69,0.88
385,oven dawlance,Home Appliances,454.0,230.0,67.0,16.0,1565.52,71.16,97.84,2230.0,409.0,EL,50.66,14.76,3.52
387,electric bike,Toys & Games,453.0,64.0,6.0,0.0,0.0,0.0,0.0,43315.0,310.0,GM,14.13,1.32,0.0
388,wireless earbuds,"TV, Audio / Video, Gaming & Wearables",453.0,232.0,73.0,27.0,267.01,8.61,9.89,68046.0,1535.0,EL,51.21,16.11,5.96
392,steam iron,Home Appliances,452.0,188.0,36.0,17.0,401.02,19.1,23.59,7328.0,1018.0,EL,41.59,7.96,3.76
391,staightner,Health & Beauty,452.0,226.0,76.0,32.0,204.88,5.85,6.4,42411.0,1020.0,FMCG,50.0,16.81,7.08
390,coat for girls,Fashion,452.0,183.0,12.0,4.0,40.14,10.04,10.04,49351.0,675.0,Fashion,40.49,2.65,0.88
389,eye lashes,Health & Beauty,452.0,201.0,62.0,23.0,45.06,1.88,1.96,33092.0,841.0,FMCG,44.47,13.72,5.09
394,watches for women,Watches Sunglasses Jewellery,451.0,218.0,74.0,24.0,88.4,3.4,3.68,1557213.0,1113.0,Fashion,48.34,16.41,5.32
393,ball,Sports & Outdoors,451.0,176.0,67.0,20.0,40.32,1.75,2.02,456432.0,667.0,GM,39.02,14.86,4.43
395,jackets for girls,Fashion,450.0,211.0,21.0,7.0,76.4,9.55,10.91,22024.0,1021.0,Fashion,46.89,4.67,1.56
396,home accessories,Furniture & Decor,450.0,124.0,17.0,3.0,11.42,2.28,3.81,897489.0,658.0,GM,27.56,3.78,0.67
397,stationary,Stationery & Craft,450.0,173.0,39.0,12.0,33.67,1.98,2.81,1046836.0,1055.0,GM,38.44,8.67,2.67
399,oppo enco w11 airbuds,"TV, Audio / Video, Gaming & Wearables",449.0,279.0,47.0,9.0,190.22,21.14,21.14,7.0,6.0,EL,62.14,10.47,2.0
400,doll house for girls,Toys & Games,449.0,209.0,21.0,8.0,69.0,7.67,8.62,41501.0,760.0,GM,46.55,4.68,1.78
398,audionic bluetooth speaker,"TV, Audio / Video, Gaming & Wearables",449.0,236.0,79.0,24.0,339.03,13.04,14.13,2536.0,1039.0,EL,52.56,17.59,5.35
401,bed sheet king size,Bedding & Bath,448.0,252.0,72.0,26.0,246.08,7.24,9.46,10005.0,1018.0,GM,56.25,16.07,5.8
402,sam sung mobile,Mobiles & Tablets,448.0,191.0,31.0,6.0,1387.84,126.17,231.31,825391.0,487.0,EL,42.63,6.92,1.34
403,concealer,Health & Beauty,447.0,275.0,131.0,41.0,106.7,2.32,2.6,42290.0,306.0,FMCG,61.52,29.31,9.17
404,men shoes,Fashion,446.0,240.0,45.0,12.0,81.31,6.78,6.78,88831.0,1529.0,Fashion,53.81,10.09,2.69
405,daldacooking oil,Groceries,446.0,240.0,123.0,44.0,4205.75,66.76,95.59,67.0,66.0,FMCG,53.81,27.58,9.87
406,t500 smart watch,"TV, Audio / Video, Gaming & Wearables",446.0,270.0,94.0,29.0,386.51,11.37,13.33,8369.0,809.0,EL,60.54,21.08,6.5
